level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	6400	7200	-1	
2	1	1	0	0	0	382	390	864	37	-1	
3	1	1	1	0	0	382	390	864	37	-1	
4	1	1	1	1	0	382	390	864	37	-1	
5	1	1	1	1	1	382	390	136	37	50.269897	nee
5	1	1	1	1	2	576	390	115	37	32.340736	OE
5	1	1	1	1	3	761	390	121	37	43.232353	Eee
5	1	1	1	1	4	961	390	91	37	37.109943	EE
5	1	1	1	1	5	1125	390	121	37	41.444126	Ee
2	1	2	0	0	0	1266	379	321	110	-1	
3	1	2	1	0	0	1266	379	321	110	-1	
4	1	2	1	1	0	1266	379	321	110	-1	
5	1	2	1	1	1	1266	379	97	110	1.884628	“]
5	1	2	1	1	2	1461	379	126	77	62.090115	3JU3
2	1	3	0	0	0	1709	383	131	59	-1	
3	1	3	1	0	0	1709	383	131	59	-1	
4	1	3	1	1	0	1709	383	131	59	-1	
5	1	3	1	1	1	1709	383	131	59	79.951210	SP3
2	1	4	0	0	0	1528	549	33	27	-1	
3	1	4	1	0	0	1528	549	33	27	-1	
4	1	4	1	1	0	1528	549	33	27	-1	
5	1	4	1	1	1	1528	549	33	27	19.640045	a
2	1	5	0	0	0	1640	514	334	62	-1	
3	1	5	1	0	0	1640	514	334	62	-1	
4	1	5	1	1	0	1640	514	334	62	-1	
5	1	5	1	1	1	1640	516	41	57	85.587692	6
5	1	5	1	1	2	1711	510	30	90	85.587692	|
5	1	5	1	1	3	1778	514	38	62	9.285263	>
5	1	5	1	1	4	1824	514	150	62	9.285263	—_—
2	1	6	0	0	0	1888	479	137	57	-1	
3	1	6	1	0	0	1888	479	137	57	-1	
4	1	6	1	1	0	1888	479	137	57	-1	
5	1	6	1	1	1	1888	479	137	57	96.013573	RED
2	1	7	0	0	0	2259	479	294	57	-1	
3	1	7	1	0	0	2259	479	294	57	-1	
4	1	7	1	1	0	2259	479	294	57	-1	
5	1	7	1	1	1	2259	479	136	57	95.959892	SOL.
5	1	7	1	1	2	2453	479	100	57	96.798492	B+
2	1	8	0	0	0	266	408	694	125	-1	
3	1	8	1	0	0	266	408	694	176	-1	
4	1	8	1	1	0	266	408	694	125	-1	
5	1	8	1	1	1	266	408	3	2	77.908913	|
5	1	8	1	1	2	327	466	295	67	96.305382	POWER
5	1	8	1	1	3	650	466	310	67	96.856049	SUPPLY
2	1	9	0	0	0	2259	578	288	56	-1	
3	1	9	1	0	0	2259	578	288	56	-1	
4	1	9	1	1	0	2259	578	288	56	-1	
5	1	9	1	1	1	2259	578	288	56	96.045326	GROUND
2	1	10	0	0	0	1525	578	546	94	-1	
3	1	10	1	0	0	1525	578	546	94	-1	
4	1	10	1	1	0	1525	578	546	94	-1	
5	1	10	1	1	1	1525	574	81	102	58.023281	>}
5	1	10	1	1	2	1648	612	32	57	81.329163	3
5	1	10	1	1	3	1716	574	35	102	81.329163	|
5	1	10	1	1	4	1760	578	311	94	42.012360	BLK
2	1	11	0	0	0	271	610	881	120	-1	
3	1	11	1	0	0	271	610	881	120	-1	
4	1	11	1	1	0	271	610	881	120	-1	
5	1	11	1	1	1	271	610	881	120	15.227394	Le
2	1	12	0	0	0	378	964	924	22	-1	
3	1	12	1	0	0	378	964	924	22	-1	
4	1	12	1	1	0	378	964	924	22	-1	
5	1	12	1	1	1	374	960	159	34	0.909485	Gm=eetn
