level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	3000	2005	-1	
2	1	1	0	0	0	28	0	2749	1934	-1	
3	1	1	1	0	0	28	0	2749	1934	-1	
4	1	1	1	1	0	789	0	1604	15	-1	
5	1	1	1	1	1	789	0	60	6	23.901299	=
5	1	1	1	1	2	952	0	15	15	5.246902	~~
5	1	1	1	1	3	2218	1	9	8	72.321518	=
5	1	1	1	1	4	2326	0	19	10	2.774338	—
5	1	1	1	1	5	2385	0	8	15	0.000000	FF
4	1	1	1	2	0	582	207	2101	42	-1	
5	1	1	1	2	1	582	215	17	34	96.989700	1
5	1	1	1	2	2	881	215	22	34	96.951096	2
5	1	1	1	2	3	1176	213	22	35	96.952255	3
5	1	1	1	2	4	1475	212	24	34	96.980232	4
5	1	1	1	2	5	1772	211	22	35	96.713341	5
5	1	1	1	2	6	2068	210	24	36	97.010406	6
5	1	1	1	2	7	2370	209	22	34	96.856453	7
5	1	1	1	2	8	2660	207	23	35	96.748283	8
4	1	1	1	3	0	490	257	2287	44	-1	
5	1	1	1	3	1	490	265	206	36	90.099953	YEL-BRN
5	1	1	1	3	2	789	265	205	36	90.296516	YEL-RED
5	1	1	1	3	3	1084	264	209	36	92.104874	YEL-ORN
5	1	1	1	3	4	1387	263	199	35	92.253220	YEL-BLK
5	1	1	1	3	5	1680	261	207	36	90.674950	YEL-GRN
5	1	1	1	3	6	1979	261	204	36	91.102829	YEL-BLU
5	1	1	1	3	7	2286	258	186	38	59.214672	YEL-vIO
5	1	1	1	3	8	2569	257	208	35	90.605255	YEL-GRY
4	1	1	1	4	0	536	294	2197	72	-1	
5	1	1	1	4	1	536	317	117	35	42.246456	2J5-8
5	1	1	1	4	2	835	317	119	35	80.977821	2J5-9
5	1	1	1	4	3	1131	316	116	36	62.234436	2J5-6
5	1	1	1	4	4	1428	298	119	68	38.349209	2J5-7
5	1	1	1	4	5	1727	313	116	36	67.491409	2J5-3
5	1	1	1	4	6	2023	296	118	68	62.383610	2J5-5
5	1	1	1	4	7	2325	294	110	67	43.182953	2J5-1
5	1	1	1	4	8	2613	307	120	36	78.031143	2J5-2
4	1	1	1	5	0	276	383	2426	45	-1	
5	1	1	1	5	1	276	383	111	35	92.222122	RED-
5	1	1	1	5	2	556	403	72	21	96.810028	Same
5	1	1	1	5	3	860	402	70	26	96.009331	Right
5	1	1	1	5	4	1178	401	24	20	95.253387	#1
5	1	1	1	5	5	1459	400	70	26	96.882973	Right
5	1	1	1	5	6	1745	399	91	21	92.752518	5-Bank
5	1	1	1	5	7	2066	394	49	34	96.876167	Left
